"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00001200";"CALLE                   ";"DEL   ";"ABEDUL                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00001500";"CALLE                   ";"DE    ";"ABEL                                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000061"
"00001500";"CALLE                   ";"DE    ";"ABEL                                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000061"
"00001816";"CALLE                   ";"DE    ";"ANTONIO DIAZ-CAÑABATE                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000036"
"00001816";"CALLE                   ";"DE    ";"ANTONIO DIAZ-CAÑABATE                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000036"
"00001851";"PLAZA                   ";"DE LOS";"ANGELES CUSTODIOS                               ";"impar";"NUM";"000001";"  ";"000001";"  ";"000094"
"00001912";"PASAJE                  ";"DE    ";"BELLAS VISTAS                                   ";"impar";"NUM";"000001";"  ";"000999";"  ";"000061"
"00001912";"PASAJE                  ";"DE    ";"BELLAS VISTAS                                   ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000061"
"00001921";"CALLE                   ";"DE    ";"DON JUSTO                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
"00001921";"CALLE                   ";"DE    ";"DON JUSTO                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00001928";"CALLE                   ";"DEL   ";"EUCALIPTO                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000054"
"00001928";"CALLE                   ";"DEL   ";"EUCALIPTO                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000054"
"00001929";"PASEO                   ";"DE LOS";"CEREZOS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000054"
"00001929";"PASEO                   ";"DE LOS";"CEREZOS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000054"
"00001930";"CALLE                   ";"DE LA ";"VIRGEN DE LA PAZ                                ";"impar";"NUM";"000001";"  ";"000011";"  ";"000154"
"00001930";"CALLE                   ";"DE LA ";"VIRGEN DE LA PAZ                                ";"par  ";"NUM";"000002";"  ";"000024";"  ";"000154"
"00001931";"CALLE                   ";"DE    ";"RAQUEL MELLER                                   ";"impar";"NUM";"000001";"  ";"000007";"  ";"000154"
"00001931";"CALLE                   ";"DE    ";"RAQUEL MELLER                                   ";"par  ";"NUM";"000002";"  ";"000016";"  ";"000154"
"00001932";"CALLE                   ";"DE LAS";"VENTAS                                          ";"impar";"NUM";"000001";"  ";"000011";"  ";"000154"
