osm_id,tipo_dato,lat,lon,nombre,operador,horario,zona
node/8987477710,parking_entrance,40.4752937,-3.6857009,,,,
node/8987480120,parking_entrance,40.4760272,-3.6860095,,,,
node/8987495242,parking_entrance,43.4727209,-3.8151877,,,,
node/8987495246,parking_entrance,43.4728586,-3.8155479,,,,
node/8987814166,parking_entrance,40.03969,0.0505602,,,,
node/8987814169,parking_entrance,40.0396592,0.0504736,,,,
node/8989543197,parking_entrance,43.3494127,-3.0093705,,,24/7,
node/8990886667,parking_entrance,40.4701485,-3.6329957,,,,
node/8992232157,parking_entrance,36.7495415,-3.8785529,,,,
node/8995591468,parking_entrance,41.3813056,2.1268282,Mercadona,,,
node/8996363273,parking_entrance,37.3690338,-5.9670205,,,,
node/8996363274,parking_entrance,37.3689639,-5.9669367,,,,
node/8996363298,parking_entrance,37.3705835,-5.96681,,,,
node/8996363299,parking_entrance,37.3702744,-5.9671721,,,,
node/8996363301,parking_entrance,37.3700317,-5.9672604,,,,
node/9001251652,parking_entrance,40.6281042,-3.1814147,,,,
node/9001251653,parking_entrance,40.628845,-3.1811081,,,,
node/9001251664,parking_entrance,40.6284119,-3.1808104,,,,
node/9004481872,parking_entrance,28.4666045,-16.2874256,,Mercadona,,
node/9006979787,parking_entrance,43.3616206,-8.4217298,,,,
node/9008689664,parking_entrance,27.7964794,-15.703286,,,,
node/9008689665,parking_entrance,27.7963108,-15.7031585,,,,
node/9014686815,parking_entrance,39.8612919,-3.9569865,,,,
node/9014708262,parking_entrance,39.8605944,-3.9593412,Acceso Parking Público,,,
node/9015116088,parking_entrance,36.8556179,-2.4380676,,,,
node/9015116093,parking_entrance,36.8549722,-2.438698,,,,
node/9016788573,parking_entrance,37.3730632,-5.9950534,,,,
node/9017068782,parking_entrance,37.3725685,-5.9988133,,,,
node/9017068789,parking_entrance,37.3725501,-5.9998002,,,,
node/9017068807,parking_entrance,37.3724022,-6.0031433,,,,
node/9020584444,parking_entrance,36.7176747,-4.3485172,,,,
node/9020730787,parking_entrance,43.2630041,-4.0690797,,,,
node/9022421680,parking_entrance,41.4142924,2.2253372,Port Forum,,,
node/9025015175,parking_entrance,43.3390802,-1.7801526,,,,
node/9025015180,parking_entrance,43.3391194,-1.7804233,,,,
node/9025015186,parking_entrance,43.3387532,-1.7809041,,,,
node/9025015187,parking_entrance,43.3387681,-1.7808608,,,,
node/9025015190,parking_entrance,43.3374011,-1.778667,,,,
node/9025015193,parking_entrance,43.3367017,-1.7791985,,,,
node/9025015194,parking_entrance,43.3369436,-1.7803728,,,,
node/9025015202,parking_entrance,43.3393968,-1.7789517,,,,
node/9025015204,parking_entrance,43.3387714,-1.7788529,,,,
node/9025015205,parking_entrance,43.3381513,-1.7787624,,,,
node/9025015207,parking_entrance,43.3380179,-1.7790473,,,,
node/9025015210,parking_entrance,43.3382748,-1.7793578,,,,
node/9026027289,parking_entrance,42.6636784,-2.0330006,,,,
node/9026777494,parking_entrance,38.4809658,-0.7765612,,,,
node/9028944648,parking_entrance,43.2280987,-2.846122,,,,
node/9028944650,parking_entrance,43.2280665,-2.8461181,,,,
node/9038124195,parking_entrance,37.3899919,-5.9974183,,,,
node/9038124215,parking_entrance,37.389761,-5.9915828,,,,
node/9042351844,parking_entrance,39.6100315,3.3889486,,,,
node/9044168184,parking_entrance,41.6267464,-0.892695,,,,
node/9046364998,parking_entrance,42.5049873,2.0423019,,,,
node/9051405844,parking_entrance,41.3253208,2.0936711,,,,
node/9051405852,parking_entrance,41.326069,2.095578,Montserrat,,,
node/9051405857,parking_entrance,41.3264489,2.096565,,,,
node/9051405866,parking_entrance,41.3274243,2.0990683,Marina,,,
node/9051845868,parking_entrance,28.4658466,-16.2469336,,,,
node/9051881333,parking_entrance,28.4657232,-16.2484623,,,,
node/9053528948,parking_entrance,28.1811031,-16.8151725,,,,
node/9054224829,parking_entrance,43.5753663,1.4730148,,,,
node/9054252535,parking_entrance,40.3926655,0.4123221,,,,
node/9054511978,parking_entrance,40.4362064,-3.685757,,,,
node/9055815091,parking_entrance,41.3822991,2.1681448,Plaça dels Àngels,,,
node/9056488889,parking_entrance,40.3321776,-3.5236421,,,,
node/9056575783,parking_entrance,40.3386031,-3.5263869,,,,
node/9057252204,parking_entrance,42.4335554,-8.6405405,,,,
node/9057333394,parking_entrance,39.9850614,-0.0306518,,,,
node/9057333401,parking_entrance,39.9849997,-0.0313466,,,,
node/9062082028,parking_entrance,43.2759177,-2.9712382,,,,
node/9062229015,parking_entrance,42.8135981,-1.6400595,,,,
