Direccion;Latitud;Longitud;Coordenadas
Calle  Don Diego, 31;40.3021953674494;-3.43887818411841;40.3021953674494, -3.43887818411841
Calle  Escultor José Ginés, 2;40.3017614426085;-3.44455720125997;40.3017614426085, -3.44455720125997
Calle de los Ángeles, 10;40.301687799474;-3.44243077683677;40.301687799474, -3.44243077683677
Calle  Don Quijote de la Mancha, 4;40.3011247579486;-3.44425279133455;40.3011247579486, -3.44425279133455
Calle  Juan de la Cierva, 2;40.3009583162777;-3.4385320608277;40.3009583162777, -3.4385320608277
Plaza de la Solanilla, 1;40.3010222705317;-3.4375183458782;40.3010222705317, -3.4375183458782
Ronda del Olivar, 47;40.3013590004684;-3.43471831066275;40.3013590004684, -3.43471831066275
Calle  Real, 52;40.2999896151017;-3.43606547592939;40.2999896151017, -3.43606547592939
Calle  Real, 66;40.2995077830083;-3.43482764293806;40.2995077830083, -3.43482764293806
Calle  Real, 110;40.2982689255745;-3.4315709919557;40.2982689255745, -3.4315709919557
Calle de las Heras, 21;40.2982005696144;-3.43401786258559;40.2982005696144, -3.43401786258559
Calle  Quevedo, 17;40.2989354288855;-3.43705011215634;40.2989354288855, -3.43705011215634
Calle  Palomar, 2;40.2992809199268;-3.44191832916933;40.2992809199268, -3.44191832916933
Calle  Pablo Iglesias, 1;40.3009357419842;-3.44338200007055;40.3009357419842, -3.44338200007055
Calle  Leonor de Cortinas, 12;40.3004993817339;-3.44336738414427;40.3004993817339, -3.44336738414427
Calle  Leonor de Cortinas, 7;40.3006399262047;-3.44480089901103;40.3006399262047, -3.44480089901103
Calle  Cortinas de Cervantes, 4;40.3008646554899;-3.44697636221219;40.3008646554899, -3.44697636221219
Calle  Catamarán, 3;40.2947158007371;-3.43724633349118;40.2947158007371, -3.43724633349118
Calle del Velero, 2;40.2963202609865;-3.43291724686684;40.2963202609865, -3.43291724686684
Calle  Mar de Alborán, 1;40.2959489977682;-3.43236357787941;40.2959489977682, -3.43236357787941
Col de los Almendros, 10;40.2912022924103;-3.4425646721463;40.2912022924103, -3.4425646721463
Col de los Almendros, 13;40.2913004668155;-3.44229159944086;40.2913004668155, -3.44229159944086
Col de los Almendros, 11;40.2912395313569;-3.44218438704598;40.2912395313569, -3.44218438704598
Calle  Monte Acho, 9;40.3153673509215;-3.48224675581625;40.3153673509215, -3.48224675581625
Calle  Monte Real, 5;40.315602438223;-3.48115265947797;40.315602438223, -3.48115265947797
Calle  Monte Alto, 2;40.3153188038731;-3.48085481708682;40.3153188038731, -3.48085481708682
Calle  Isla Graciosa, 16;40.3145386311873;-3.47970025904684;40.3145386311873, -3.47970025904684
Calle  Formentera, 1;40.3133650738321;-3.47837509010656;40.3133650738321, -3.47837509010656
Calle  Formentera, 1;40.3132598624318;-3.47841046562605;40.3132598624318, -3.47841046562605
Calle  Mallorca, 1;40.3134012160924;-3.47631660742514;40.3134012160924, -3.47631660742514
Calle  Mallorca, 1;40.3133070944935;-3.47634484143122;40.3133070944935, -3.47634484143122
Avda de la Estrella de Oriente, 3;40.3151211708006;-3.47760731051102;40.3151211708006, -3.47760731051102
Urb. de la Estrella de Oriente, 3;40.3151738876564;-3.4768925219673;40.3151738876564, -3.4768925219673
Avda del Niño Jesús, 5;40.3153127523721;-3.47674179869938;40.3153127523721, -3.47674179869938
Avda del Niño Jesús, 5;40.3152974130966;-3.47643828931322;40.3152974130966, -3.47643828931322
Avda de la Estrella de Oriente, 7;40.3156420608533;-3.47600005465664;40.3156420608533, -3.47600005465664
Avda de la Estrella de Oriente, 6;40.3152393959861;-3.47594237485619;40.3152393959861, -3.47594237485619
Urb. de la Estrella de Oriente, 6;40.3152383577203;-3.47588947486952;40.3152383577203, -3.47588947486952
Avda de la Estrella de Oriente, 8;40.3151989617403;-3.47519127308221;40.3151989617403, -3.47519127308221
Avda de los Derechos Humanos, 14;40.3078964038623;-3.44496299540413;40.3078964038623, -3.44496299540413
Avda  República Argentina, 45;40.3102707864299;-3.45384134390811;40.3102707864299, -3.45384134390811
Ctra Loeches-C/ Los Angeles;40.3023215873866;-3.44203625637399;40.3023215873866, -3.44203625637399
Calle  Juan XXIII, 18;40.2993821488597;-3.43827245748508;40.2993821488597, -3.43827245748508
Calle  Juan de Austria, 1;40.2981794773283;-3.4328709422853;40.2981794773283, -3.4328709422853
Paseo de la Ilusión, 5;40.3075064535035;-3.44173208328458;40.3075064535035, -3.44173208328458
Calle de Alonso Quijano, 4;40.3005483073354;-3.4466940057889;40.3005483073354, -3.4466940057889
Calle Campoamor;40.3010608089177;-3.43400183700825;40.3010608089177, -3.43400183700825
Calle  Mar de Alborán, 1;40.2960369352665;-3.43231813432804;40.2960369352665, -3.43231813432804
Calle  Virgen de los Reyes, 5;40.3026982719297;-3.44635644513352;40.3026982719297, -3.44635644513352
