gis_x;gis_y;fecha_de_alta;fecha_de_baja;cod_distrito;distrito;cod_barrio;num_barrio;barrio;calle;numero_finca;matricula;longitud;latitud
440611.4720620000;4473157.9725480000;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;VALENCIA, CALLE, DE;15;0301210058;-3.6999137830;40.4069195080
440572.1994167690;4473244.4863644200;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;VALENCIA, CALLE, DE;5;0301210043;-3.7003846970;40.4076956940
440633.0874824480;4473052.7826836400;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;VALENCIA, RONDA, DE;2;0301210063;-3.6996492490;40.4059732680
440608.6431492480;4473376.7450748700;2014-05-29;1900-01-08;1;Centro;12;2;Embajadores;ZURITA, CALLE, DE;41;0301210039;-3.6999675270;40.4088895090
441134.7902500000;4473596.6064190000;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;ALMADEN, CALLE, DE;FRENTE 21;0301310025;-3.6937873180;40.4109077530
440728.1087685380;4473757.1130845400;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;AMOR DE DIOS, CALLE, DEL;14;0301310019;-3.6985950640;40.4123248490
440710.4432030000;4474274.8952840000;2014-05-28;2018-06-06;1;Centro;13;3;Cortes;ARLABAN, CALLE, DE;12;0301310004;-3.6988515200;40.4169875800
440697.4056642660;4474273.5760720700;2021-04-01;1900-01-08;1;Centro;13;3;Cortes;ARLABAN, CALLE, DE;12;0301310004;-3.6990051300;40.4169754330
441079.7935655660;4473517.9249709800;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;ATOCHA, CALLE, DE;117;0301310026;-3.6944281140;40.4101947070
440924.0493363280;4473607.2059473700;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;ATOCHA, CALLE, DE;95;0301310024;-3.6962718920;40.4109881380
440644.6204638550;4474523.4907688900;2016-03-28;1900-01-08;1;Centro;13;3;Cortes;CABALLERO DE GRACIA, CALLE, DEL;26;0301310028;-3.6996505670;40.4192226310
441122.9341250000;4474028.3851570000;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;CANOVAS DEL CASTILLO, PLAZA, DE;3;0301310012;-3.6939670540;40.4147965890
441097.4358600000;4474139.8997220000;2014-05-29;1900-01-08;1;Centro;13;3;Cortes;CANOVAS DEL CASTILLO, PLAZA, DE;5;0301310007;-3.6942778270;40.4157997230
