FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc8,65621,APARCAMOTOS_001,Esquina con Cl. Duquesa de Parcent,"ALAMEDA DE COLÓN, 30 ",POINT (372805.019223719 4064088.73722469),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,57
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dc9,65710,APARCAMOTOS_223,Esq. Av. Luz,"AVENIDA DE ISAAC PERAL, 4 ",POINT (369942.118929714 4062268.23028042),,,,24 h,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dca,65810,APARCAMOTOS_294,,"AVENIDA DE JOSÉ ORTEGA Y GASSET, 11 ",POINT (371152.908899191 4063876.98138879),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dcb,75541,APARCAMOTOS_312,Esquina con Mendivil,"CALLE JOVELLANOS, 6 ",POINT (372250.421325339 4063994.53599828),,,,24h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dcc,65711,APARCAMOTOS_219,Esq. Antonio Baena Gómez,"CALLE MARTÍNEZ, 16 ",POINT (373001.908483401 4064585.46287414),,,,Motos de 11 a 7 h,,MUNICIPAL,No,No,34
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dcd,65861,APARCAMOTOS_034,Esq. Plaza del Ejido,"CALLE EJIDO, 6 ",POINT (373387.419142978 4065638.99428066),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dce,65591,APARCAMOTOS_200,Esq. Garcerán,"PASEO DE ANTONIO MACHADO, 72 ",POINT (371818.425332939 4062698.54612134),,,,24 h,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dcf,65821,APARCAMOTOS_002,Esq. Av. Manuel Agustín Heredia,"AVENIDA DE MANUEL AGUSTÍN HEREDIA, 26 ",POINT (372821.874329489 4064041.84337475),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,21
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd0,75540,APARCAMOTOS_295_,Esquina con Avenida Paloma,"CALLE HÉROE DE SOSTOA, 194 ",POINT (370988.546254502 4062683.90754964),,,,24h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd1,65664,APARCAMOTOS_114,Esq. con Cl. Concejal Muñoz Cervan,"CALLE PACÍFICO, 22 ",POINT (371519.041487547 4062283.81650533),,,,24 h.,,MUNICIPAL,No,No,24
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd2,65657,APARCAMOTOS_073,Esq. Av. Cánovas del Castillo,"CALLE ARENAL, 2 ",POINT (374026.982426109 4064640.65953114),,,,Laborables 8 a 20h,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd3,65712,APARCAMOTOS_220,Esq. Antonio Baena Gómez,"CALLE MARTÍNEZ, 7 ",POINT (372977.465284555 4064587.71206179),,,,24 h,,MUNICIPAL,No,No,34
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd4,65778,APARCAMOTOS_316,Excepto carga y descarga en días laborables de 8 a 20 h RESTO HORARIO MOTOS,"CALLE CORTINA DEL MUELLE, 11 ",POINT (373297.000400783 4064687.00033133),,,,,,MUNICIPAL,No,No,29
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd5,79308,APARCAMOTOS_379,C/ David Santiago esquina con C/ Coda Jiménez,"CALLE DAVID SANTIAGO, 13 ",POINT (373327.963201375 4066807.49603577),,,,,,MUNICIPAL,No,No,6.5
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd6,80144,APARCAMOTOS_384,C/ Linares esquina con Camino Huertecilla,"CALLE LINARES, 16 ",POINT (365225.7549041 4059818.8561458),,,,,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd7,65779,APARCAMOTOS_317,Excepto carga y descarga en días laborables de 8 a 20 h RESTO HORARIO MOTOS,"CALLE CORTINA DEL MUELLE, 15 ",POINT (373336.000092485 4064719.00026116),,,,,,MUNICIPAL,No,No,48
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd8,65654,APARCAMOTOS_050,Esq. Cañon,"CALLE CORTINA DEL MUELLE, 13 ",POINT (373321.783186685 4064698.89579703),,,,24 h.,,MUNICIPAL,No,No,32
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dd9,65613,APARCAMOTOS_019,Esq. Puerta del Mar,"CALLE ATARAZANAS, 1 ",POINT (372916.940827581 4064584.5051686),,,,De 9 a 21 h.,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dda,65749,APARCAMOTOS_249,Esq. con Avda. Cervantes,"CALLE ALCALDE PEDRO LUIS ALONSO, 1 ",POINT (373559.728202835 4064751.41200927),,,,24 h.,,MUNICIPAL,No,No,17
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2ddb,65727,APARCAMOTOS_225,,"CALLE MANUEL DE PALACIO, 16 ",POINT (377634.966630307 4065265.93268131),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2ddc,65782,APARCAMOTOS_323,C/ Enrique Van Dulken esq. C/ Maestro Vert,"CALLE ENRIQUE VAN DULKEN, 9 ",POINT (366054.99983727 4058738.00017334),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2ddd,65724,APARCAMOTOS_155,,"PASEO MARÍTIMO PABLO RUIZ PICASSO, 10 ",POINT (374389.966339919 4064716.32499871),,,,,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dde,65852,APARCAMOTOS_058,Esq. Picacho,"CALLE VICTORIA, 48 ",POINT (373598.964630721 4065260.70269826),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2ddf,65758,APARCAMOTOS_263,Esq. con Cl. Fernando Camino,"CALLE ARENAL, 13 ",POINT (374137.448741226 4064632.2652064),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2de0,65868,APARCAMOTOS_332,,"CALLE LA MERCED, 2 ",POINT (373409.000116172 4065205.00024241),,,,,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2de1,65628,APARCAMOTOS_072,Esq. Escultor Marín Higuero,"AVENIDA DE PÍO BAROJA, 9 ",POINT (378158.978181832 4064730.50733478),,,,24 h.,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2de2,65636,APARCAMOTOS_071,Esq. calle Ortega Munilla,"AVENIDA DE LA ESTACIÓN DE EL PALO, 6 ",POINT (378415.670868493 4064722.08451113),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,26
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2de3,65585,APARCAMOTOS_188,,"CALLE PINOSOL, 21 ",POINT (374091.379068564 4065435.08551274),,,,24 h,,MUNICIPAL,No,No,10
