FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2736,75536,APARCAMOTOS_311,Esquina con Calle Francisco Vigil Escalera,"CALLE MAGISTRADO SALVADOR BARBERÁ, 5 ",POINT (-4.443502179409332 36.72373926078411),,,,24h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2737,79219,APARCAMOTOS_377A,C/ Alcalde José María de los Llanos esq. C /Vistafranca,"CALLE ALCALDE JOSÉ MARÍA DE LLANOS, 2 ",POINT (-4.449185031841008 36.697462486229334),,,,,,MUNICIPAL,No,No, 
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2738,65722,APARCAMOTOS_143,Esq. con Cl. Sagasta,"PLAZA DE ARRIOLA, 12 ",POINT (-4.42450800001827 36.71842603762499),,,,Laborables de 10 a 5h y no laborables 24h,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2739,78444,APARCAMOTOS_373,"C/ Alozaina N.º 44, esquina con C/ Alcalde Díaz Zafra","CALLE ALOZAINA, 44 ",POINT (-4.4507258519232336 36.70941580611808),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273a,65679,APARCAMOTOS_133,Esq.Panaderos,"CALLE PANADEROS, 31 ",POINT (-4.425325021166021 36.71735126194727),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273b,65856,APARCAMOTOS_098,Esq. con Cl. Martínez Maldonado,"CALLE PELAYO, 1 ",POINT (-4.4326570000185 36.72170903762916),,,,Laborables 8 a 21 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273c,65675,APARCAMOTOS_129,,"CALLE MARTÍNEZ FALERO, 63 ",POINT (-4.355517178790453 36.720848229455406),,,,Laborables 9 a 14 h.,,MUNICIPAL,No,No,3
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273d,65753,APARCAMOTOS_257,Esq. con Cl. Pinzón,"CALLE SOMERA, 11 ",POINT (-4.423308000018228 36.715068037620654),,,,24 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273e,65798,APARCAMOTOS_278,Esq. con Cl. Doña del Toboso,"PASAJE MORA, 4 ",POINT (-4.359406000016665 36.72160203762914),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_273f,78122,APARCAMOTOS_364,Esq. Arroyo de los Ángeles,"CALLE BLAS DE LEZO, 22 ",POINT (-4.434175779989201 36.72946168556937),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2740,65725,APARCAMOTOS_198,Esq.calle Rosario,"CALLE CRUZ DEL MOLINILLO, 20 ",POINT (-4.423396000018262 36.72677583763561),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2741,65697,APARCAMOTOS_172,Esq. con Cl. Callejones del Perchel,"PLAZA DE LA SOLIDARIDAD, 9 ",POINT (-4.431080000018433 36.71403203761933),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2742,65747,APARCAMOTOS_260,Esq. Avda. de Manuel Agustín Heredia,"CALLE SOMERA, 14 ",POINT (-4.422984000018218 36.714630037620154),,,,24 h.,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2743,65726,APARCAMOTOS_221,Esq. La Regente,"AVENIDA DE BARCELONA, 42 ",POINT (-4.430714000018461 36.72591103763452),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2744,65694,APARCAMOTOS_169,,"CALLE PANADEROS, 1 ",POINT (-4.4229880000182344 36.71811203762458),,,,24 h.,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2745,65809,APARCAMOTOS_293,Frente a Cl. San Salvador,"PASEO DE LOS TILOS, 67 ",POINT (-4.43999848052023 36.7120833527078),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2746,65760,APARCAMOTOS_298,Esquina con Calle Tarantas,"CALLE SANTA MARTA, 8 ",POINT (-4.440404513186214 36.71132844294872),,,,24h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2747,65772,APARCAMOTOS_313,Pz. César Álvarez Dumont esq. C/ Cruceta,"PLAZA DE CÉSAR ÁLVAREZ DUMONT, 5 ",POINT (-4.451526500018946 36.690914747589815),,,,,,MUNICIPAL,No,No,6
