Nº de plazas de garaje;Municipios (con más de 2.000 habitantes);Nº de inmuebles;Total
6 a 10;44014  Alcorisa;20 a 29;..
6 a 10;44014  Alcorisa;30 a 39;..
6 a 10;44014  Alcorisa;40 o más;..
6 a 10;44025  Andorra;Total;5
6 a 10;44025  Andorra;1;..
6 a 10;44025  Andorra;2;..
6 a 10;44025  Andorra;3;..
6 a 10;44025  Andorra;4;..
6 a 10;44025  Andorra;5 a 9;3
6 a 10;44025  Andorra;10 a 19;2
6 a 10;44025  Andorra;20 a 29;..
6 a 10;44025  Andorra;30 a 39;..
6 a 10;44025  Andorra;40 o más;..
6 a 10;44050  Calamocha;Total;14
6 a 10;44050  Calamocha;1;..
6 a 10;44050  Calamocha;2;..
6 a 10;44050  Calamocha;3;1
6 a 10;44050  Calamocha;4;..
6 a 10;44050  Calamocha;5 a 9;9
6 a 10;44050  Calamocha;10 a 19;4
6 a 10;44050  Calamocha;20 a 29;..
6 a 10;44050  Calamocha;30 a 39;..
6 a 10;44050  Calamocha;40 o más;..
6 a 10;44051  Calanda;Total;19
6 a 10;44051  Calanda;1;..
6 a 10;44051  Calanda;2;1
6 a 10;44051  Calanda;3;..
6 a 10;44051  Calanda;4;..
6 a 10;44051  Calanda;5 a 9;9
6 a 10;44051  Calanda;10 a 19;9
6 a 10;44051  Calanda;20 a 29;..
6 a 10;44051  Calanda;30 a 39;..
6 a 10;44051  Calanda;40 o más;..
6 a 10;44076  Cella;Total;8
6 a 10;44076  Cella;1;..
6 a 10;44076  Cella;2;..
6 a 10;44076  Cella;3;1
6 a 10;44076  Cella;4;..
6 a 10;44076  Cella;5 a 9;4
6 a 10;44076  Cella;10 a 19;3
6 a 10;44076  Cella;20 a 29;..
6 a 10;44076  Cella;30 a 39;..
6 a 10;44076  Cella;40 o más;..
6 a 10;44153  Monreal del Campo;Total;10
6 a 10;44153  Monreal del Campo;1;..
6 a 10;44153  Monreal del Campo;2;..
6 a 10;44153  Monreal del Campo;3;..
6 a 10;44153  Monreal del Campo;4;..
6 a 10;44153  Monreal del Campo;5 a 9;9
6 a 10;44153  Monreal del Campo;10 a 19;1
6 a 10;44153  Monreal del Campo;20 a 29;..
6 a 10;44153  Monreal del Campo;30 a 39;..
6 a 10;44153  Monreal del Campo;40 o más;..
6 a 10;44216  Teruel;Total;164
6 a 10;44216  Teruel;1;..
6 a 10;44216  Teruel;2;..
6 a 10;44216  Teruel;3;3
6 a 10;44216  Teruel;4;2
6 a 10;44216  Teruel;5 a 9;122
6 a 10;44216  Teruel;10 a 19;34
6 a 10;44216  Teruel;20 a 29;1
6 a 10;44216  Teruel;30 a 39;1
6 a 10;44216  Teruel;40 o más;1
6 a 10;44238  Utrillas;Total;7
6 a 10;44238  Utrillas;1;..
6 a 10;44238  Utrillas;2;..
6 a 10;44238  Utrillas;3;..
6 a 10;44238  Utrillas;4;..
6 a 10;44238  Utrillas;5 a 9;6
6 a 10;44238  Utrillas;10 a 19;1
6 a 10;44238  Utrillas;20 a 29;..
6 a 10;44238  Utrillas;30 a 39;..
6 a 10;44238  Utrillas;40 o más;..
6 a 10;44246  Valderrobres;Total;7
6 a 10;44246  Valderrobres;1;..
6 a 10;44246  Valderrobres;2;..
6 a 10;44246  Valderrobres;3;1
6 a 10;44246  Valderrobres;4;1
6 a 10;44246  Valderrobres;5 a 9;5
6 a 10;44246  Valderrobres;10 a 19;..
6 a 10;44246  Valderrobres;20 a 29;..
6 a 10;44246  Valderrobres;30 a 39;..
6 a 10;44246  Valderrobres;40 o más;..
11 a 20;44008  Albalate del Arzobispo;Total;3
11 a 20;44008  Albalate del Arzobispo;1;..
11 a 20;44008  Albalate del Arzobispo;2;..
11 a 20;44008  Albalate del Arzobispo;3;..
11 a 20;44008  Albalate del Arzobispo;4;..
11 a 20;44008  Albalate del Arzobispo;5 a 9;..
11 a 20;44008  Albalate del Arzobispo;10 a 19;1
11 a 20;44008  Albalate del Arzobispo;20 a 29;2
11 a 20;44008  Albalate del Arzobispo;30 a 39;..
11 a 20;44008  Albalate del Arzobispo;40 o más;..
11 a 20;44013  Alcañiz;Total;101
11 a 20;44013  Alcañiz;1;..
11 a 20;44013  Alcañiz;2;..
11 a 20;44013  Alcañiz;3;..
11 a 20;44013  Alcañiz;4;1
11 a 20;44013  Alcañiz;5 a 9;13
11 a 20;44013  Alcañiz;10 a 19;75
11 a 20;44013  Alcañiz;20 a 29;10
11 a 20;44013  Alcañiz;30 a 39;1
11 a 20;44013  Alcañiz;40 o más;1
11 a 20;44014  Alcorisa;Total;5
11 a 20;44014  Alcorisa;1;..
11 a 20;44014  Alcorisa;2;..
11 a 20;44014  Alcorisa;3;..
11 a 20;44014  Alcorisa;4;..
11 a 20;44014  Alcorisa;5 a 9;..
11 a 20;44014  Alcorisa;10 a 19;5
11 a 20;44014  Alcorisa;20 a 29;..
11 a 20;44014  Alcorisa;30 a 39;..
11 a 20;44014  Alcorisa;40 o más;..
11 a 20;44025  Andorra;Total;..
11 a 20;44025  Andorra;1;..
11 a 20;44025  Andorra;2;..
11 a 20;44025  Andorra;3;..
11 a 20;44025  Andorra;4;..
11 a 20;44025  Andorra;5 a 9;..
11 a 20;44025  Andorra;10 a 19;..
11 a 20;44025  Andorra;20 a 29;..
11 a 20;44025  Andorra;30 a 39;..
11 a 20;44025  Andorra;40 o más;..
11 a 20;44050  Calamocha;Total;14
11 a 20;44050  Calamocha;1;..
11 a 20;44050  Calamocha;2;..
11 a 20;44050  Calamocha;3;..
11 a 20;44050  Calamocha;4;..
11 a 20;44050  Calamocha;5 a 9;3
11 a 20;44050  Calamocha;10 a 19;11
11 a 20;44050  Calamocha;20 a 29;..
11 a 20;44050  Calamocha;30 a 39;..
11 a 20;44050  Calamocha;40 o más;..
11 a 20;44051  Calanda;Total;6
11 a 20;44051  Calanda;1;..
11 a 20;44051  Calanda;2;..
11 a 20;44051  Calanda;3;..
11 a 20;44051  Calanda;4;..
11 a 20;44051  Calanda;5 a 9;1
11 a 20;44051  Calanda;10 a 19;5
11 a 20;44051  Calanda;20 a 29;..
11 a 20;44051  Calanda;30 a 39;..
11 a 20;44051  Calanda;40 o más;..
11 a 20;44076  Cella;Total;2
11 a 20;44076  Cella;1;..
11 a 20;44076  Cella;2;..
11 a 20;44076  Cella;3;..
11 a 20;44076  Cella;4;..
11 a 20;44076  Cella;5 a 9;..
11 a 20;44076  Cella;10 a 19;2
11 a 20;44076  Cella;20 a 29;..
11 a 20;44076  Cella;30 a 39;..
11 a 20;44076  Cella;40 o más;..
11 a 20;44153  Monreal del Campo;Total;8
11 a 20;44153  Monreal del Campo;1;..
11 a 20;44153  Monreal del Campo;2;..
11 a 20;44153  Monreal del Campo;3;..
11 a 20;44153  Monreal del Campo;4;..
11 a 20;44153  Monreal del Campo;5 a 9;1
11 a 20;44153  Monreal del Campo;10 a 19;6
11 a 20;44153  Monreal del Campo;20 a 29;1
11 a 20;44153  Monreal del Campo;30 a 39;..
11 a 20;44153  Monreal del Campo;40 o más;..
11 a 20;44216  Teruel;Total;117
11 a 20;44216  Teruel;1;..
11 a 20;44216  Teruel;2;..
11 a 20;44216  Teruel;3;..
11 a 20;44216  Teruel;4;1
11 a 20;44216  Teruel;5 a 9;18
11 a 20;44216  Teruel;10 a 19;74
11 a 20;44216  Teruel;20 a 29;23
11 a 20;44216  Teruel;30 a 39;1
11 a 20;44216  Teruel;40 o más;..
11 a 20;44238  Utrillas;Total;1
11 a 20;44238  Utrillas;1;..
11 a 20;44238  Utrillas;2;..
11 a 20;44238  Utrillas;3;..
11 a 20;44238  Utrillas;4;..
11 a 20;44238  Utrillas;5 a 9;..
11 a 20;44238  Utrillas;10 a 19;1
11 a 20;44238  Utrillas;20 a 29;..
11 a 20;44238  Utrillas;30 a 39;..
11 a 20;44238  Utrillas;40 o más;..
11 a 20;44246  Valderrobres;Total;11
11 a 20;44246  Valderrobres;1;..
11 a 20;44246  Valderrobres;2;..
11 a 20;44246  Valderrobres;3;..
11 a 20;44246  Valderrobres;4;..
11 a 20;44246  Valderrobres;5 a 9;1
11 a 20;44246  Valderrobres;10 a 19;10
11 a 20;44246  Valderrobres;20 a 29;..
11 a 20;44246  Valderrobres;30 a 39;..
11 a 20;44246  Valderrobres;40 o más;..
21 a 50;44008  Albalate del Arzobispo;Total;1
21 a 50;44008  Albalate del Arzobispo;1;..
21 a 50;44008  Albalate del Arzobispo;2;..
21 a 50;44008  Albalate del Arzobispo;3;..
21 a 50;44008  Albalate del Arzobispo;4;..
21 a 50;44008  Albalate del Arzobispo;5 a 9;..
21 a 50;44008  Albalate del Arzobispo;10 a 19;1
21 a 50;44008  Albalate del Arzobispo;20 a 29;..
21 a 50;44008  Albalate del Arzobispo;30 a 39;..
21 a 50;44008  Albalate del Arzobispo;40 o más;..
21 a 50;44013  Alcañiz;Total;25
21 a 50;44013  Alcañiz;1;..
21 a 50;44013  Alcañiz;2;..
21 a 50;44013  Alcañiz;3;..
21 a 50;44013  Alcañiz;4;..
21 a 50;44013  Alcañiz;5 a 9;1
21 a 50;44013  Alcañiz;10 a 19;7
21 a 50;44013  Alcañiz;20 a 29;10
21 a 50;44013  Alcañiz;30 a 39;4
21 a 50;44013  Alcañiz;40 o más;3
21 a 50;44014  Alcorisa;Total;..
21 a 50;44014  Alcorisa;1;..
21 a 50;44014  Alcorisa;2;..
21 a 50;44014  Alcorisa;3;..
21 a 50;44014  Alcorisa;4;..
21 a 50;44014  Alcorisa;5 a 9;..
21 a 50;44014  Alcorisa;10 a 19;..
21 a 50;44014  Alcorisa;20 a 29;..
21 a 50;44014  Alcorisa;30 a 39;..
